index,x,y
35.367702,805,755
35.40049,840,754
35.431955,871,753
35.465176,894,751
35.499991,947,748
35.52997,1038,746
35.563321,1121,745
35.595117,1170,744
35.631746,1203,743
35.662421,1217,744
35.696828,1502,739
35.72677,1585,739
35.764344,1598,737
35.79556,1605,737
35.829866,1608,737
35.863936,1650,738
35.900335,1674,742
35.929595,1686,744
35.964727,1700,746
35.996831,1712,748
36.035476,1722,750
36.064205,1726,750
36.100973,1727,750
36.131723,1727,750
36.163886,1728,751
36.198496,1702,751
36.232116,763,773
36.263432,252,788
36.298602,241,793
36.328043,239,794
36.363841,225,798
36.395308,216,810
36.430886,211,823
36.468511,203,830
36.50061,198,834
36.533379,193,838
36.568319,191,844
36.600547,188,849
36.634089,187,855
36.66376,186,857
36.698651,184,860
36.732607,178,861
36.76261,178,861
36.799009,178,860
36.830454,218,860
36.865553,575,851
36.899532,612,851
36.930217,637,852
36.963033,652,851
36.997813,665,851
37.028538,671,850
37.064279,677,849
37.09598,684,849
37.130615,764,848
37.161678,1028,841
37.19793,1082,841
37.229268,1109,840
37.261087,1128,840
37.297095,1139,839
37.329808,1188,839
37.362088,1313,839
37.396345,1409,842
37.428493,1460,844
37.460934,1473,846
37.494669,1481,848
37.530409,1504,851
37.563589,1522,852
37.599186,1529,853
37.634821,1538,854
37.663551,1540,856
37.696245,1536,857
37.728719,1537,858
37.762615,1541,860
37.795628,1541,859
37.831089,1540,858
37.861319,1508,855
37.896374,439,881
37.926854,367,884
37.962777,292,887
37.999101,254,887
38.031153,234,887
38.067135,214,888
38.100573,203,888
38.130479,197,888
38.164417,196,888
38.198955,195,888
38.232188,192,889
38.268766,186,889
38.299295,184,889
38.331168,182,889
38.36779,179,890
38.39686,175,890
38.431061,172,892
38.465441,178,897
38.498427,207,906
38.532438,250,911
38.567532,293,916
38.598455,323,919
38.63415,356,919
38.665871,377,921
38.698019,457,922
38.731116,752,912
38.761076,793,913
38.796412,827,913
38.82989,851,913
38.862397,864,913
38.900108,883,913
38.931263,922,913
38.961053,952,914
38.994952,978,916
39.029387,995,919
39.061681,1009,921
39.095615,1021,921
39.135108,1024,921
