index,x,y
40.894812,876,855
40.930285,889,857
40.966323,932,858
40.999697,1245,863
41.034364,1290,866
41.066327,1312,868
41.099698,1328,868
41.130713,1338,869
41.164712,1348,867
41.196712,1356,865
41.22889,1377,863
41.265289,1406,859
41.296081,1427,855
41.328839,1440,850
41.362724,1455,843
41.39472,1458,839
41.431532,1467,838
41.465147,1474,833
41.499406,1465,830
41.529053,761,830
41.565254,440,833
41.597035,378,838
41.627678,320,843
41.660929,274,848
41.700091,247,855
41.730259,232,857
41.765693,224,864
41.796191,218,869
41.82945,206,874
41.864933,192,877
41.899182,181,884
41.929428,177,889
41.966879,190,892
41.996765,232,897
42.030005,315,899
42.063964,412,899
42.097559,482,900
42.131518,522,901
42.161857,592,900
42.194759,740,902
42.22786,835,904
42.262517,901,905
42.294959,939,908
42.327342,958,910
42.362215,981,912
42.395602,990,913
42.429355,996,912
42.464003,1000,912
42.494713,1001,912
42.529649,999,914
42.563704,996,915
