index,x,y
36.797308,1406,391
36.831958,1442,390
36.864655,1458,389
36.898117,1473,388
36.932175,1488,387
36.964668,1555,382
36.997794,1607,379
37.033469,1645,377
37.06596,1679,377
37.102097,1698,378
37.133775,1713,378
37.16561,1719,378
37.1986,1725,378
37.231666,1729,377
37.263802,1732,377
37.296664,1737,374
37.328568,1740,372
37.364021,1749,370
37.397628,1761,365
37.431737,1769,358
37.463246,1775,352
37.496906,1786,347
37.530235,1795,343
37.563067,1798,342
37.596837,1806,342
37.628342,1812,342
37.661067,1819,342
37.693291,1823,341
37.729478,1776,341
37.765547,662,320
37.796729,372,312
37.828242,316,314
37.862158,293,321
37.896575,279,334
37.929896,279,347
37.964671,232,346
37.997178,184,348
38.029858,158,350
38.06243,140,349
38.099216,139,349
38.131713,136,349
38.163984,131,349
38.199039,130,353
38.232676,134,356
38.263502,136,360
38.295007,138,364
38.32649,140,365
38.360462,184,366
38.394267,260,374
38.427565,322,382
38.460036,367,389
38.49412,397,395
38.528304,411,402
38.560167,425,411
38.59403,437,418
38.6273,529,425
38.661393,630,435
38.694279,708,451
38.725661,750,456
38.759909,781,461
38.793475,809,466
38.827401,824,470
38.861901,832,473
38.893592,833,473
38.928379,834,471
38.960752,836,469
38.994218,856,469
39.030618,878,468
39.062943,895,468
39.097069,911,467
39.132131,922,467
39.163827,933,468
39.196461,942,469
39.228073,945,469
39.26068,950,470
39.297441,952,471
39.330202,978,473
39.365161,1005,476
39.397449,1024,481
39.434926,1044,487
39.463999,1057,491
39.498759,1069,497
39.53284,1084,499
39.568007,1103,498
39.601328,1158,498
39.63616,1198,497
39.666912,1226,497
39.700103,1256,497
39.73058,1279,497
39.761664,1294,497
39.794774,1350,499
39.826378,1396,500
39.858051,1439,502
39.89352,1473,503
39.929282,1496,504
39.960051,1521,504
39.995972,1544,504
40.02748,1558,505
40.060829,1575,502
40.093002,1585,502
40.128156,1591,500
40.163349,1594,501
40.198226,1601,502
40.230503,1604,502
40.261506,1580,500
40.295472,447,468
40.329348,334,467
40.364041,274,470
40.398516,240,470
40.433834,214,470
40.465819,214,473
40.495175,212,475
40.529701,210,477
40.56191,207,480
40.595548,196,481
40.629799,187,480
40.664964,183,483
40.696012,174,485
40.731927,167,489
40.767665,170,491
40.800805,185,495
40.834363,241,501
40.864466,297,507
40.898408,362,511
40.927505,400,512
40.96232,445,515
40.996799,473,517
41.029605,520,522
41.06455,651,532
41.098292,739,537
41.130298,799,541
41.16725,829,542
41.197128,846,543
41.22793,869,545
41.262102,959,553
41.29272,1038,557
41.325888,1100,561
41.359639,1136,562
41.395501,1160,563
41.427262,1163,563
41.461197,1179,562
41.496064,1250,563
41.52865,1298,563
41.566074,1321,562
41.598669,1341,562
41.630904,1366,560
41.666032,1384,559
41.69597,1431,560
41.730838,1513,560
41.766629,1574,560
41.798157,1611,560
41.828611,1630,560
41.863942,1647,559
41.896338,1662,558
41.928604,1678,557
41.964118,1689,557
42.001061,1703,556
42.028829,1709,554
42.064064,1729,551
42.097862,1731,550
42.131081,1737,546
42.163367,1747,541
42.194912,1752,537
42.227362,1754,534
42.260871,1756,533
42.293252,1746,531
42.327696,689,505
42.360782,352,495
42.395126,279,499
42.429439,253,500
42.462036,231,505
42.497845,216,514
42.531531,203,524
42.564715,189,541
42.600727,175,549
42.632011,159,554
42.66452,155,554
42.697842,150,558
42.730254,156,558
42.760287,157,558
42.794202,153,557
42.830022,147,558
42.863079,141,563
42.897506,133,567
42.929365,137,574
42.96629,217,587
42.999119,310,598
43.032555,385,603
43.065354,437,607
43.097809,481,611
43.128905,510,613
43.160547,530,615
43.194632,542,617
43.229293,823,630
43.26204,865,633
43.294167,896,634
43.329874,913,637
43.363251,932,640
43.398538,945,642
43.430904,953,644
43.466241,970,643
43.496767,1028,643
43.528339,1088,645
43.562757,1145,647
43.596516,1171,648
43.63008,1192,649
43.663282,1199,648
43.700007,1271,650
43.736179,1394,651
43.768039,1483,653
43.801056,1540,655
43.833525,1568,656
43.862289,1590,656
43.899053,1637,657
43.932658,1696,658
43.965265,1741,659
43.999905,1771,659
44.032132,1788,659
44.06564,1807,660
44.093712,1815,659
44.129536,1819,659
44.162754,1828,660
44.193691,1830,660
44.225762,1832,660
44.260164,1833,660
44.294092,1823,659
44.326733,820,630
44.360005,257,612
44.393567,238,614
44.427537,212,614
44.461093,188,614
44.49534,175,613
44.528972,174,613
44.56797,176,613
44.597982,176,613
44.631923,180,613
44.664334,184,613
44.697743,187,613
44.729428,188,613
44.763039,188,613
44.796681,185,613
44.829071,184,612
44.864074,180,612
44.894549,178,612
44.93113,176,612
44.964442,185,613
44.996347,237,618
45.028325,290,624
45.062616,342,631
45.096744,381,639
45.130043,408,649
45.16083,427,655
45.198324,446,660
45.229855,457,664
45.264664,581,673
45.297051,686,684
45.33118,769,695
45.366678,815,703
45.398575,844,708
45.43136,855,713
45.46414,931,711
45.49753,1238,720
45.529326,1295,722
45.562738,1331,724
45.596704,1348,725
45.629764,1348,725
45.66468,1351,725
45.694978,1391,726
45.726322,1433,728
45.762539,1470,730
45.796355,1517,733
45.830857,1555,736
45.865261,1576,739
45.899878,1593,745
45.930091,1605,749
45.964077,1607,754
45.999575,1608,758
46.034586,1611,762
46.068321,1611,763
46.103021,1613,767
46.137621,1614,769
46.169477,1609,768
46.206346,991,747
46.235407,332,734
46.268271,284,742
46.296792,234,742
46.330163,211,742
46.361634,213,744
46.395773,224,746
46.429198,227,747
46.462617,229,750
46.497568,223,753
46.529766,220,753
46.561057,213,753
46.593861,203,752
46.625882,205,755
46.662253,208,758
46.698795,212,760
46.731336,242,764
46.763202,272,769
46.79796,302,773
46.833341,323,775
