index,x,y
239.870567,1312,442
239.9041,1306,440
239.937198,1299,441
239.970239,1294,439
240.002095,1295,439
240.037392,1509,439
240.069994,1506,439
240.105047,1537,439
240.138763,1538,437
240.171828,1545,437
240.204223,1556,436
240.237632,1550,435
240.271412,1589,433
240.304584,1641,431
240.337112,1673,431
240.370369,1695,428
240.403289,1680,425
240.435985,1390,428
240.470095,385,408
240.502949,331,407
240.537007,261,404
240.57169,255,404
240.605321,252,407
240.639413,252,407
240.672025,252,406
240.704753,228,403
240.737804,196,401
240.772136,187,402
240.806117,197,402
240.838831,193,402
240.873415,193,403
240.907036,206,403
240.938922,206,403
240.972614,206,403
241.006177,436,417
241.038776,443,418
241.072402,453,418
241.104203,461,418
241.137032,461,418
241.171971,460,418
241.203737,459,418
241.237027,458,417
241.268918,661,425
241.303098,662,430
241.334616,666,431
241.368525,664,434
241.401364,651,445
241.435236,655,456
241.467819,679,463
241.503652,1079,481
241.538678,1117,489
241.573194,1122,486
241.60679,1124,492
241.640519,1131,497
241.675249,1127,496
241.709553,1139,497
241.742428,1146,496
241.775345,1384,499
241.808498,1384,500
241.840187,1379,498
241.87349,1372,498
241.90557,1372,499
241.938291,1378,499
241.971362,1371,502
242.004209,650,488
242.039084,624,486
242.070963,584,485
242.102895,555,483
242.136119,207,466
242.170252,201,468
242.204037,189,472
242.236168,194,475
242.268067,139,470
242.303019,130,468
242.337301,81,466
242.370286,92,466
242.404985,99,467
242.438049,103,466
242.472303,109,467
242.505337,112,464
242.53868,112,462
242.571958,112,462
242.605067,117,463
242.639297,140,466
242.671983,188,473
242.70483,225,476
242.738106,238,485
242.770843,276,491
242.8043,346,499
242.83794,374,504
242.869949,415,508
242.903827,425,516
242.93634,442,518
242.969976,460,525
243.003385,754,538
243.036988,740,539
243.069815,716,541
243.103216,702,543
243.137006,716,541
243.16918,733,542
243.202658,731,543
243.235995,750,550
243.271114,774,559
243.304182,797,561
243.33757,816,568
243.371136,865,580
243.404266,879,582
243.437155,892,584
243.471055,894,583
243.502504,892,583
243.535763,905,586
243.56901,912,585
243.601326,918,583
