timestamp,x,y
1770684385.651971,1885,585
1770684385.661343,1894,566
1770684385.673458,1835,537
1770684385.68284,1888,541
1770684385.695417,1880,532
1770684385.704872,1908,566
1770684385.717001,1884,547
1770684385.727341,1886,557
1770684385.738578,1931,533
1770684385.748235,1913,552
1770684385.759768,1861,532
1770684385.769831,1924,606
1770684385.78078,1864,572
1770684385.790867,1879,548
1770684385.802524,1848,561
1770684385.812314,1896,584
1770684385.823539,1855,553
1770684385.832881,1757,603
1770684385.845728,1431,690
1770684385.856012,813,730
1770684385.869147,456,882
1770684385.879173,498,778
1770684385.891355,497,820
1770684385.900987,496,857
1770684385.912637,479,839
1770684385.923118,514,824
1770684385.935583,518,853
1770684385.945611,473,839
1770684385.957578,506,822
1770684385.967556,540,827
1770684385.979388,572,819
1770684385.989011,554,835
1770684386.001687,551,818
1770684386.011395,477,833
1770684386.022938,509,888
1770684386.032879,540,835
1770684386.044069,504,846
1770684386.054001,535,856
1770684386.06523,512,842
1770684386.075324,617,822
1770684386.086939,613,833
1770684386.096535,557,805
1770684386.109155,633,788
1770684386.118355,546,806
1770684386.129886,609,757
1770684386.139781,568,800
1770684386.152576,668,806
1770684386.162013,710,796
1770684386.174299,705,822
1770684386.250452,732,764
1770684386.262272,718,791
1770684386.271978,739,758
1770684386.282556,753,802
1770684386.292604,740,752
1770684386.304668,799,826
1770684386.31429,777,755
1770684386.325902,725,788
1770684386.335212,758,746
1770684386.34704,728,771
1770684386.357117,934,759
1770684386.369073,1028,742
1770684386.378517,898,761
1770684386.390126,1060,733
1770684386.400144,1009,758
1770684386.411693,910,760
1770684386.420973,954,757
1770684386.432147,952,762
1770684386.442022,1177,725
1770684386.454064,1272,755
1770684386.463942,1314,714
1770684386.475913,1258,760
1770684386.48539,1418,765
1770684386.497072,1369,783
1770684386.507535,1374,797
1770684386.519542,1392,766
1770684386.529621,1532,668
1770684386.541587,1543,705
1770684386.551742,1648,640
1770684386.563758,1587,662
1770684386.573218,1674,641
1770684386.584969,1633,652
1770684386.595183,1784,638
1770684386.606302,1928,670
1770684386.616003,1962,598
1770684386.62816,1941,627
1770684386.63794,1977,613
1770684386.649569,1953,626
1770684386.658989,1967,646
1770684386.67065,1942,654
1770684386.680111,1935,704
1770684386.691445,1945,650
1770684386.701297,1998,695
1770684386.713026,1997,703
1770684386.72265,2014,703
1770684386.734476,2023,684
1770684386.743905,2044,656
1770684386.755938,2037,643
1770684386.765319,2011,643
1770684386.777225,2029,653
1770684386.786327,2049,638
1770684386.797833,1593,708
1770684386.807531,1055,944
1770684386.819106,598,945
1770684386.828655,525,995
1770684386.840581,485,1019
1770684386.850072,482,1015
1770684386.861564,461,996
1770684386.870942,461,1002
1770684386.883029,499,1023
1770684386.892627,494,995
1770684386.903864,575,1030
1770684386.912782,507,1022
1770684386.924796,554,1022
1770684386.934453,477,990
1770684386.946191,481,985
1770684386.956796,475,938
1770684386.967912,547,998
1770684386.978194,551,1003
1770684386.990145,520,1015
1770684387.000969,546,1009
1770684387.012921,546,994
1770684387.0245,585,978
1770684387.037558,522,958
1770684387.047194,573,958
1770684387.059401,602,926
1770684387.068849,645,931
1770684387.081991,656,886
1770684387.09213,764,891
1770684387.103904,742,881
1770684387.114751,665,893
1770684387.125929,729,896
1770684387.135284,788,888
1770684387.147552,912,939
1770684387.158157,984,967
1770684387.171597,997,938
1770684387.181954,998,949
1770684387.194704,949,950
1770684387.204178,974,937
1770684387.2157,976,955
1770684387.225181,880,944
1770684387.237094,936,925
1770684387.246334,870,936
1770684387.257905,906,933
1770684387.268234,1096,895
1770684387.279785,1230,982
1770684387.289069,1241,948
1770684387.301858,1229,876
1770684387.311776,1124,896
1770684387.324971,1237,874
1770684387.337209,1166,859
1770684387.422141,1277,906
1770684387.431406,1560,854
1770684387.443215,1611,802
1770684387.452269,1570,807
1770684387.463982,1577,832
1770684387.53749,1572,1174
1770684387.549506,1617,1143
1770684387.559487,1626,1121
1770684387.571869,1606,1100
1770684387.581777,1612,1095
1770684387.593608,1587,1075
1770684387.603678,1606,1065
1770684387.616061,1604,1006
1770684387.626678,1583,998
1770684387.639128,1736,992
1770684387.649209,1787,950
1770684387.661187,1837,1002
1770684387.670775,1834,930
1770684387.682725,1880,935
1770684387.693322,1746,906
1770684387.704799,1873,942
1770684387.713998,1933,914
1770684387.72633,1993,925
1770684387.736236,1984,904
1770684387.747638,1955,910
1770684387.757072,1983,920
1770684387.769088,1864,871
1770684387.778988,1945,852
1770684387.790754,1932,873
1770684387.800421,1955,844
1770684387.811806,1921,878
1770684387.821322,1961,897
1770684387.832685,1965,883
1770684387.843342,1990,896
1770684387.855383,1970,881
1770684387.865355,2008,903
1770684387.877445,1967,889
1770684387.88707,1991,906
1770684387.899272,2046,901
1770684387.909148,2051,940
1770684387.921395,2042,913
1770684387.931626,2066,927
1770684387.942875,2045,882
1770684387.954439,1940,918
1770684387.967095,1460,1042
1770684388.019778,695,1136
1770684388.053463,600,1100
1770684388.064274,524,1149
1770684388.076998,593,1191
1770684388.086762,579,1114
1770684388.098817,519,1173
1770684388.109,578,1133
1770684388.120566,561,1132
1770684388.129839,539,1086
1770684388.141908,560,1107
1770684388.151521,593,1162
1770684388.163405,602,1191
1770684388.172779,741,1188
1770684388.184621,792,1195
1770684388.194403,818,1233
1770684388.205942,782,1163
1770684388.216463,808,1159
1770684388.228467,830,1149
1770684388.238596,815,1199
1770684388.250606,811,1163
1770684388.260794,907,1116
1770684388.27421,988,1164
1770684388.284528,1001,1148
1770684388.295864,980,1185
1770684388.305512,1074,1143
1770684388.317575,1023,1161
1770684388.327535,1063,1183
1770684388.33907,1106,1151
1770684388.34852,1159,1177
1770684388.359636,1373,1156
1770684388.369249,1315,1138
1770684388.381586,1383,1115
1770684388.390876,1380,1097
1770684388.402529,1423,1119
1770684388.412814,1399,1102
1770684388.424777,1497,1126
1770684388.434299,1476,1096
1770684388.44653,1483,1085
1770684388.456399,1490,1063
1770684388.468147,1514,1047
1770684388.47757,1506,1058
1770684388.489589,1477,1068
1770684388.498644,1455,1100
1770684388.510417,1534,1090
1770684388.520386,1501,1085
1770684388.599979,1738,1043
1770684388.609622,1710,1030
1770684388.621179,1733,1022
1770684388.631299,1709,1042
1770684388.643034,1847,1022
1770684388.653236,1744,1043
1770684388.666058,1820,1055
1770684388.676154,1888,1026
1770684388.688036,1884,1045
1770684388.697451,1905,1034
1770684388.709705,2003,1002
1770684388.719265,1986,1020
1770684388.731211,1998,1036
